Image,PSNR,SSIM,lpips,MOS
subject_000_cn_sigma_20,32.12592462,0.999981891,0.207124054,68.50340136
subject_000_cn_sigma_40,26.57210539,0.999773789,0.365828663,48.39002268
subject_000_cn_sigma_60,23.35561838,0.999244096,0.458223641,39.11564626
subject_000_cn_sigma_80,21.12271003,0.998434225,0.518204272,42.44897959
subject_000_gn_sigma_0.05,29.70042905,0.999999783,0.103065699,61.92743764
subject_000_gn_sigma_0.1,25.78906864,0.99999711,0.169547513,31.70068027
subject_000_gn_sigma_0.15,22.45759152,0.999993471,0.21123825,24.46712018
subject_000_gn_sigma_0.2,21.6975518,0.99997815,0.235714197,14.82993197
subject_000_jpeg_q_10,35.50556107,0.999999791,0.065847777,41.42857143
subject_000_jpeg_q_15,37.77524758,0.999996892,0.040233508,63.85487528
subject_000_jpeg_q_20,39.59346442,0.999999868,0.032497194,65.69160998
subject_000_jpeg_q_3,26.76117782,0.999902211,0.185659513,16.03174603
subject_000_qp_level_6,16.55302052,0.998738741,0.343183517,12.87981859
subject_000_qp_level_7,18.03967477,0.999304724,0.296214044,9.727891156
subject_000_qp_level_8,20.38711222,0.999941094,0.231169432,9.818594104
subject_000_qp_level_9,23.40036435,0.999997741,0.19392322,18.3446712
subject_000_qt_level_10,31.53911342,0.999999894,0.076698221,52.92517007
subject_000_qt_level_7,27.32530295,0.999999072,0.14088434,38.36734694
subject_000_qt_level_8,29.15762447,0.999999909,0.113004513,60.24943311
subject_000_qt_level_9,30.66383556,0.999999886,0.089506201,58.11791383
subject_000_simp_rate_0.05,28.45606011,0.999999234,0.088614441,50.79365079
subject_000_simp_rate_0.1,29.1913072,0.999999722,0.068893597,57.09750567
subject_000_simp_rate_0.2,33.82446093,0.999999971,0.044526275,79.88662132
subject_000_simp_rate_0.4,35.88720634,0.999999978,0.025651738,78.7755102
subject_000_sub_rate_16,30.95613381,0.999985683,0.11326097,28.63945578
subject_000_sub_rate_2,41.59400908,0.999999823,0.020177502,78.68480726
subject_000_sub_rate_4,35.8806066,0.999998729,0.063868381,62.19954649
subject_000_sub_rate_8,32.93751346,0.9999951,0.099649943,35.87301587
subject_002_cn_sigma_20,32.88950542,0.999994696,0.165756717,69.61451247
subject_002_cn_sigma_40,27.3332855,0.999933472,0.319824934,53.94557823
subject_002_cn_sigma_60,24.2238108,0.99972742,0.410781622,40.97505669
subject_002_cn_sigma_80,22.118089,0.999265815,0.469724953,37.07482993
subject_002_gn_sigma_0.05,29.83156511,0.999992196,0.125153899,47.55102041
subject_002_gn_sigma_0.1,24.53571816,0.999933288,0.201067582,33.7414966
subject_002_gn_sigma_0.15,22.02090276,0.999816558,0.238658145,15.01133787
subject_002_gn_sigma_0.2,20.86455744,0.999770353,0.258341163,6.394557823
subject_002_jpeg_q_10,36.24876737,0.999992543,0.057366736,59.97732426
subject_002_jpeg_q_15,38.58390346,0.999999925,0.035822857,62.19954649
subject_002_jpeg_q_20,40.56040819,0.999999657,0.021711329,65.07936508
subject_002_jpeg_q_3,26.95043076,0.999689061,0.16218093,19.09297052
subject_002_qp_level_6,15.18640122,0.965751661,0.3500067,8.888888889
subject_002_qp_level_7,16.48677337,0.986282684,0.309489846,10
subject_002_qp_level_8,18.92686996,0.998358294,0.265110463,6.666666667
subject_002_qp_level_9,22.77433349,0.999863346,0.230258003,32.15419501
subject_002_qt_level_10,31.14710685,0.999998412,0.09377031,63.58276644
subject_002_qt_level_7,26.60342115,0.999992396,0.145212114,30.77097506
subject_002_qt_level_8,28.44518357,0.999996944,0.122247696,41.42857143
subject_002_qt_level_9,29.9989785,0.999998297,0.104556143,54.69387755
subject_002_simp_rate_0.05,31.12466919,0.999999991,0.096783087,43.7414966
subject_002_simp_rate_0.1,32.8250433,0.999999995,0.073233984,60.99773243
subject_002_simp_rate_0.2,34.32550937,0.999999992,0.04762828,68.50340136
subject_002_simp_rate_0.4,36.55333884,0.999999997,0.025382234,78.59410431
subject_002_sub_rate_16,30.14831037,0.999935922,0.100756325,25.30612245
subject_002_sub_rate_2,41.28866937,0.999998847,0.015649991,63.03854875
subject_002_sub_rate_4,35.40353253,0.999992361,0.0538821,65.53287982
subject_002_sub_rate_8,32.30536022,0.99997071,0.085206158,32.63038549
subject_006_cn_sigma_20,32.75821754,0.999994787,0.128384963,73.96825397
subject_006_cn_sigma_40,27.17836973,0.999954045,0.272578657,51.9047619
subject_006_cn_sigma_60,24.06000206,0.999839157,0.368123025,41.15646259
subject_006_cn_sigma_80,22.03789164,0.999664451,0.425993621,42.0861678
subject_006_gn_sigma_0.05,29.86839906,0.999996944,0.097836159,66.28117914
subject_006_gn_sigma_0.1,25.22788029,0.999979539,0.167591631,27.80045351
subject_006_gn_sigma_0.15,22.88431828,0.999976383,0.206930876,17.98185941
subject_006_gn_sigma_0.2,21.34089285,0.999987296,0.231272578,16.03174603
subject_006_jpeg_q_10,35.20987099,0.99999359,0.050814148,53.94557823
subject_006_jpeg_q_15,37.57760096,0.999999937,0.031942215,86.55328798
subject_006_jpeg_q_20,39.53886593,0.999999893,0.01865934,64.05895692
subject_006_jpeg_q_3,27.04277192,0.999728677,0.153707623,24.55782313
subject_006_qp_level_6,16.44821372,0.9804634,0.320184648,8.707482993
subject_006_qp_level_7,17.69552003,0.990375595,0.275439382,15.94104308
subject_006_qp_level_8,19.63202655,0.998647168,0.232998624,6.666666667
subject_006_qp_level_9,22.91291424,0.99994176,0.199167758,21.40589569
subject_006_qt_level_10,31.33092418,0.999998565,0.071747907,69.61451247
subject_006_qt_level_7,26.21828634,0.999989601,0.134886622,27.52834467
subject_006_qt_level_8,27.9117859,0.999993437,0.112225614,65.89569161
subject_006_qt_level_9,29.85256838,0.999998435,0.086610831,60.15873016
subject_006_simp_rate_0.05,28.73491147,0.999999981,0.086935669,35.03401361
subject_006_simp_rate_0.1,31.98229026,0.999999922,0.063873611,59.04761905
subject_006_simp_rate_0.2,33.42807597,0.99999993,0.043660823,67.4829932
subject_006_simp_rate_0.4,34.35807138,0.999999966,0.025795341,55.44217687
subject_006_sub_rate_16,29.14803749,0.999886865,0.102272272,18.16326531
subject_006_sub_rate_2,39.44387764,0.99999707,0.018552253,68.50340136
subject_006_sub_rate_4,33.3910914,0.999979282,0.069787204,63.1292517
subject_006_sub_rate_8,30.67555951,0.999930874,0.09220925,46.34920635
subject_007_cn_sigma_20,32.49163007,0.999997624,0.17647849,67.4829932
subject_007_cn_sigma_40,26.92521269,0.999944341,0.341288954,51.72335601
subject_007_cn_sigma_60,23.73175734,0.999806129,0.436036736,46.2585034
subject_007_cn_sigma_80,21.57402219,0.999621773,0.491608948,27.52834467
subject_007_gn_sigma_0.05,30.04145856,0.999999123,0.098086804,49.68253968
subject_007_gn_sigma_0.1,25.69467514,0.999996537,0.168944374,32.81179138
subject_007_gn_sigma_0.15,23.18825339,0.999992291,0.213508859,28.54875283
subject_007_gn_sigma_0.2,21.48759401,0.999988044,0.240700319,15.37414966
subject_007_jpeg_q_10,35.58402832,0.999998963,0.064256743,39.20634921
subject_007_jpeg_q_15,38.19321869,0.999998729,0.03781721,48.39002268
subject_007_jpeg_q_20,40.69082895,0.999999751,0.024049839,79.25170068
subject_007_jpeg_q_3,27.03930874,0.999925533,0.174342066,35.51020408
subject_007_qp_level_6,15.76325133,0.995313586,0.342726409,6.666666667
subject_007_qp_level_7,17.35475695,0.997684942,0.296225816,10.65759637
subject_007_qp_level_8,19.84319009,0.999743589,0.240846977,15.01133787
subject_007_qp_level_9,23.16305408,0.999996388,0.201641589,27.70975057
subject_007_qt_level_10,31.72032319,0.999999549,0.073520087,53.19727891
subject_007_qt_level_7,28.28816228,0.999999558,0.123098835,26.59863946
subject_007_qt_level_8,29.89909365,0.99999897,0.100802407,42.63038549
subject_007_qt_level_9,31.09172835,0.999999436,0.083812617,53.76417234
subject_007_simp_rate_0.05,30.59720315,0.999999711,0.095686495,54.03628118
subject_007_simp_rate_0.1,31.85331831,0.999999953,0.07331448,62.10884354
subject_007_simp_rate_0.2,33.48779969,0.999999972,0.050038535,88.32199546
subject_007_simp_rate_0.4,35.49064503,0.999999976,0.028622027,70.99773243
subject_007_sub_rate_16,32.5146925,0.999985673,0.079452544,28.63945578
subject_007_sub_rate_2,43.6181421,0.999999947,0.013606681,74.80725624
subject_007_sub_rate_4,38.28483428,0.999999013,0.044988777,71.17913832
subject_007_sub_rate_8,35.18765383,0.999995121,0.068248667,39.20634921
subject_008_cn_sigma_20,31.5318557,0.999988612,0.228684992,55.23809524
subject_008_cn_sigma_40,26.00554567,0.999931393,0.404162347,57.00680272
subject_008_cn_sigma_60,22.86015597,0.999795265,0.500698209,35.57823129
subject_008_cn_sigma_80,20.7293211,0.999608807,0.559854448,27.98185941
subject_008_gn_sigma_0.05,29.75799478,0.999998909,0.139043823,48.66213152
subject_008_gn_sigma_0.1,25.02200021,0.999992754,0.219073445,21.31519274
subject_008_gn_sigma_0.15,22.61378043,0.999984264,0.257332891,20.29478458
subject_008_gn_sigma_0.2,20.68899763,0.999978735,0.286005199,12.22222222
subject_008_jpeg_q_10,35.67335673,0.999999625,0.07901191,70.99773243
subject_008_jpeg_q_15,37.63455218,0.999999454,0.052851707,53.94557823
subject_008_jpeg_q_20,39.43280101,0.999999952,0.036661446,47.55102041
subject_008_jpeg_q_3,26.33062745,0.999878285,0.190709129,21.40589569
subject_008_qp_level_6,15.45212769,0.995492,0.390758514,7.68707483
subject_008_qp_level_7,17.36132164,0.998225348,0.346355736,7.777777778
subject_008_qp_level_8,19.32364102,0.999834697,0.2888304,10.83900227
subject_008_qp_level_9,22.8186311,0.999991286,0.244804561,18.25396825
subject_008_qt_level_10,31.5441388,0.999999679,0.094163068,57.09750567
subject_008_qt_level_7,27.83866391,0.999997773,0.157355532,29.18367347
subject_008_qt_level_8,29.36729457,0.999999608,0.128994644,48.48072562
subject_008_qt_level_9,30.70622229,0.999999517,0.107117511,47.55102041
subject_008_simp_rate_0.05,29.9198992,0.999999979,0.107640535,47.46031746
subject_008_simp_rate_0.1,32.06819314,0.999999949,0.082432501,37.07482993
subject_008_simp_rate_0.2,34.06643097,0.999999986,0.05536738,59.04761905
subject_008_simp_rate_0.4,36.05067077,0.999999985,0.031054519,73.03854875
subject_008_sub_rate_16,31.38517365,0.999988407,0.110966869,31.70068027
subject_008_sub_rate_2,41.59688154,0.999999748,0.024051193,68.41269841
subject_008_sub_rate_4,36.60332303,0.999998448,0.069327995,52.65306122
subject_008_sub_rate_8,33.81602387,0.999993961,0.096440971,51.72335601
subject_013_cn_sigma_20,32.72325722,0.999999669,0.15128541,79.70521542
subject_013_cn_sigma_40,27.20710986,0.999973874,0.314396232,49.50113379
subject_013_cn_sigma_60,24.03244268,0.999883365,0.410661489,38.00453515
subject_013_cn_sigma_80,21.89644303,0.999736759,0.468584985,33.44671202
subject_013_gn_sigma_0.05,29.44774169,0.99999795,0.113921575,44.12698413
subject_013_gn_sigma_0.1,25.13413267,0.999987236,0.188715696,34.76190476
subject_013_gn_sigma_0.15,22.16727758,0.999969108,0.231703445,25.3968254
subject_013_gn_sigma_0.2,20.82948215,0.999960916,0.252222121,20.20408163
subject_013_jpeg_q_10,35.47577974,0.999998657,0.065311648,39.3877551
subject_013_jpeg_q_15,37.80285477,0.999999747,0.039364938,88.41269841
subject_013_jpeg_q_20,39.71323459,0.99999994,0.025840705,71.92743764
subject_013_jpeg_q_3,27.27805122,0.999988317,0.177567482,26.78004535
subject_013_qp_level_6,15.7567886,0.994601491,0.342430472,3.333333333
subject_013_qp_level_7,17.48374664,0.997011422,0.295562267,15.01133787
subject_013_qp_level_8,19.75701541,0.999546215,0.245141983,4.263038549
subject_013_qp_level_9,23.09901178,0.999984588,0.212232322,30.58956916
subject_013_qt_level_10,31.96458973,0.999999751,0.078579843,63.85487528
subject_013_qt_level_7,27.81594372,0.999996792,0.148371115,33.92290249
subject_013_qt_level_8,29.49054121,0.999998396,0.12133725,57.00680272
subject_013_qt_level_9,30.95588492,0.999999492,0.092334516,60.81632653
subject_013_simp_rate_0.05,30.8727833,0.999999882,0.077612638,42.44897959
subject_013_simp_rate_0.1,32.85199681,0.99999995,0.05728003,64.14965986
subject_013_simp_rate_0.2,34.96999704,0.999999996,0.036349598,77.39229025
subject_013_simp_rate_0.4,36.92141111,0.999999995,0.021006877,70.54421769
subject_013_sub_rate_16,30.82632159,0.999978061,0.120510459,29.65986395
subject_013_sub_rate_2,40.4712575,0.999999703,0.025094792,76.00907029
subject_013_sub_rate_4,35.48006444,0.999997632,0.074159257,57.66439909
subject_013_sub_rate_8,33.00136817,0.999991017,0.106790282,37.9138322
subject_015_cn_sigma_20,32.39592702,0.999995422,0.186691612,62.56235828
subject_015_cn_sigma_40,26.83032199,0.999915838,0.338876277,58.11791383
subject_015_cn_sigma_60,23.62084621,0.999710149,0.435516924,39.47845805
subject_015_cn_sigma_80,21.45372814,0.999425193,0.493709236,29.84126984
subject_015_gn_sigma_0.05,29.99270886,0.999998934,0.109582596,44.48979592
subject_015_gn_sigma_0.1,25.32107699,0.999993506,0.183871582,25.57823129
subject_015_gn_sigma_0.15,22.81067374,0.999982944,0.222625703,29.93197279
subject_015_gn_sigma_0.2,21.28972828,0.999980753,0.248423308,16.30385488
subject_015_jpeg_q_10,35.2865931,0.999999327,0.068396188,34.85260771
subject_015_jpeg_q_15,37.80650273,0.999994748,0.042709701,63.21995465
subject_015_jpeg_q_20,40.01571855,0.999999718,0.02527418,75.44217687
subject_015_jpeg_q_3,26.75724763,0.999992768,0.185052276,9.909297052
subject_015_qp_level_6,16.30081374,0.996177554,0.342180699,11.85941043
subject_015_qp_level_7,17.5950919,0.99814447,0.300021857,3.242630385
subject_015_qp_level_8,20.12672848,0.999786996,0.250819534,17.23356009
subject_015_qp_level_9,23.4351275,0.999993245,0.210136056,22.24489796
subject_015_qt_level_10,31.60212626,0.999999665,0.080436818,55.98639456
subject_015_qt_level_7,27.48008943,0.999998449,0.145786986,30.68027211
subject_015_qt_level_8,29.19945185,0.999999204,0.117505975,21.31519274
subject_015_qt_level_9,30.61633786,0.99999957,0.09258581,58.57142857
subject_015_simp_rate_0.05,30.42575859,0.999999945,0.09227483,40.31746032
subject_015_simp_rate_0.1,31.78849673,0.999999968,0.068670176,44.48979592
subject_015_simp_rate_0.2,33.29537047,0.999999979,0.047100589,69.79591837
subject_015_simp_rate_0.4,35.89766081,0.999999989,0.026572894,68.86621315
subject_015_sub_rate_16,30.73523091,0.999981559,0.106807061,25.30612245
