img,text0,text1,text2,text3,text4,text5
./subject_000_cn_sigma_20/front.png,0.27512974,0.7248703,0.73105854,0.26894143,0.54673815,0.45326188
./subject_000_cn_sigma_20/left.png,0.35577488,0.6442251,0.62977463,0.37022537,0.4148988,0.5851011
./subject_000_cn_sigma_40/front.png,0.25982565,0.7401744,0.6654106,0.33458945,0.51561993,0.4843801
./subject_000_cn_sigma_40/left.png,0.26284185,0.7371582,0.57367843,0.4263216,0.36658975,0.6334103
./subject_000_cn_sigma_60/front.png,0.29098085,0.7090191,0.6261242,0.37387583,0.5389832,0.4610168
./subject_000_cn_sigma_60/left.png,0.24220563,0.7577944,0.4843801,0.51561993,0.27202457,0.7279754
./subject_000_cn_sigma_80/front.png,0.284576,0.715424,0.63703084,0.36296922,0.4843801,0.51561993
./subject_000_cn_sigma_80/left.png,0.20689406,0.79310596,0.39606816,0.6039318,0.19436783,0.8056322
./subject_000_gn_sigma_0.05/front.png,0.21733752,0.7826625,0.73411953,0.2658805,0.34864515,0.6513549
./subject_000_gn_sigma_0.05/left.png,0.26894143,0.73105854,0.5544705,0.44552955,0.23934935,0.7606507
./subject_000_gn_sigma_0.1/front.png,0.20946969,0.7905303,0.6513549,0.34864515,0.33458945,0.6654106
./subject_000_gn_sigma_0.1/left.png,0.2658805,0.73411953,0.5039062,0.49609384,0.24798743,0.75201255
./subject_000_gn_sigma_0.15/front.png,0.23934935,0.7606507,0.5888891,0.41111085,0.43014732,0.56985265
./subject_000_gn_sigma_0.15/left.png,0.2814056,0.7185944,0.4148988,0.5851011,0.34864515,0.6513549
./subject_000_gn_sigma_0.2/front.png,0.18713269,0.81286734,0.50781184,0.49218813,0.28776783,0.7122322
./subject_000_gn_sigma_0.2/left.png,0.19930801,0.80069196,0.32423538,0.6757646,0.18952109,0.81047887
./subject_000_jpeg_q_10/front.png,0.24798743,0.75201255,0.61508787,0.38491216,0.30735803,0.692642
./subject_000_jpeg_q_10/left.png,0.32423538,0.6757646,0.46490157,0.53509843,0.256832,0.74316794
./subject_000_jpeg_q_15/front.png,0.21469142,0.78530854,0.6513549,0.34864515,0.38121957,0.61878043
./subject_000_jpeg_q_15/left.png,0.29421496,0.70578504,0.54673815,0.45326188,0.24798743,0.75201255
./subject_000_jpeg_q_20/front.png,0.21206881,0.7879312,0.715424,0.284576,0.45326188,0.54673815
./subject_000_jpeg_q_20/left.png,0.21733752,0.7826625,0.61138195,0.388618,0.21206881,0.7879312
./subject_000_jpeg_q_3/front.png,0.33458945,0.6654106,0.5312094,0.46879065,0.50781184,0.49218813
./subject_000_jpeg_q_3/left.png,0.1561049,0.84389514,0.39981166,0.6001883,0.067546695,0.9324533
./subject_000_qp_level_6/front.png,0.33458945,0.6654106,0.27512974,0.7248703,0.11124121,0.8887587
./subject_000_qp_level_6/left.png,0.22000709,0.7799929,0.12765263,0.8723474,0.04885778,0.9511422
./subject_000_qp_level_7/front.png,0.19436783,0.8056322,0.2814056,0.7185944,0.075858176,0.9241418
./subject_000_qp_level_7/left.png,0.23091975,0.7690802,0.20689406,0.79310596,0.03461884,0.96538115
./subject_000_qp_level_8/front.png,0.34864515,0.6513549,0.48047867,0.51952136,0.2509128,0.7490872
./subject_000_qp_level_8/left.png,0.37754068,0.62245935,0.5312094,0.46879065,0.16238002,0.83761996
./subject_000_qp_level_9/front.png,0.256832,0.74316794,0.62245935,0.37754068,0.3174263,0.68257374
./subject_000_qp_level_9/left.png,0.30404165,0.6959583,0.48047867,0.51952136,0.284576,0.715424
