img,text0,text1,text2,text3,text4,text5
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/0.png,0.10916147,0.4741758,0.18568991,0.1276227,0.037140317,0.06620978
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/1.png,0.09362065,0.40666956,0.1749064,0.24665755,0.027245162,0.050900668
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/2.png,0.08650111,0.6803839,0.10272261,0.056728814,0.02119801,0.052465577
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/3.png,0.073963165,0.619286,0.114556395,0.114556395,0.029883819,0.04775421
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/4.png,0.013010373,0.38620645,0.04685216,0.26961553,0.010454129,0.27386138
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_20.obj/5.png,0.031098586,0.32915783,0.075776435,0.26448575,0.026600031,0.27288142
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/0.png,0.071529105,0.6475716,0.09184519,0.10407423,0.016726252,0.06825355
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/1.png,0.02939691,0.3933263,0.097906664,0.35257542,0.014104792,0.11268988
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/2.png,0.03871925,0.73057866,0.059969548,0.07463331,0.015401455,0.08069785
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/3.png,0.034699805,0.56002647,0.08588284,0.17622013,0.022056537,0.121114224
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/4.png,0.008852668,0.42654544,0.02902678,0.2507531,0.009423615,0.27539843
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_40.obj/5.png,0.004108896,0.21743596,0.012076715,0.15661325,0.009405356,0.6003599
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/0.png,0.033971056,0.53139675,0.045713052,0.1836458,0.015798008,0.18947536
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/1.png,0.023704492,0.38257113,0.05959309,0.38257113,0.019347042,0.13221306
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/2.png,0.029405845,0.6287247,0.046261888,0.081192136,0.013462977,0.20095249
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/3.png,0.022807064,0.4876365,0.043961763,0.21303262,0.029284848,0.20327714
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/4.png,0.003424709,0.28069437,0.008883018,0.15993482,0.006010552,0.5410525
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_60.obj/5.png,0.000855253,0.16045552,0.004411729,0.0973212,0.006520113,0.7304361
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_80.obj/0.png,0.009823943,0.3304474,0.032211464,0.38633212,0.014072147,0.22711293
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_80.obj/1.png,0.026794085,0.4461616,0.042153016,0.29259992,0.017571991,0.17471938
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_80.obj/2.png,0.043335956,0.6368172,0.046857342,0.072574064,0.02079282,0.17962255
./dis_6projections/00003_Rahel003_Basics_007_cn_sigma_80.obj/3.png,0.022883257,0.48168024,0.044108633,0.18570428,0.027174542,0.238449
